State,StCodeAP,StCodeInd,District,DstCodeAP,DstCodeInd,Mandal,MndCodeAP,MndCodeInd,Village,VillCodeAP,VillCodeIn,Shape_Area
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Ambavaram,003,591183,21.62923053430
Andhra Pradesh,28,28,Prakasam,17,549,Hanumanthunipadu,21,05130,Veeragareddi Palle,020,591138,5.83231169019
Andhra Pradesh,28,28,Prakasam,17,549,Marripudi,23,05129,Vema Varam,020,591111,19.80392677210
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,C G Mamidalavarikhandrika,007,591296,1.67808596080
Andhra Pradesh,28,28,Prakasam,17,549,Bestawaripeta,20,05131,Basine Palle,016,591161,12.29503352510
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,G Dharbakulavarikhandrika,005,591294,1.18226406772
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Anakarlapudi,008,591297,8.11607316141
Andhra Pradesh,28,28,Prakasam,17,549,Racherla,18,05132,Gudimetla,012,591180,21.32030396350
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Kanigiri (U),009,591289,33.04671859570
Andhra Pradesh,28,28,Prakasam,17,549,Racherla,18,05132,Dadanaguruvai Palle,011,591176,3.18200701603
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,C G Anantha Bhotla Vari Khandrika,006,591295,2.66739389914
Andhra Pradesh,28,28,Prakasam,17,549,Hanumanthunipadu,21,05130,Veerarama Puram,017,591135,5.79221137682
Andhra Pradesh,28,28,Prakasam,17,549,Hanumanthunipadu,21,05130,Hazee Puram,025,591143,22.46163809150
Andhra Pradesh,28,28,Prakasam,17,549,Marripudi,23,05129,Juvvi Gunta,019,591114,5.70016450688
Andhra Pradesh,28,28,Prakasam,17,549,Ongole,27,05139,Mangaladri Puram,016,591341,2.04824579675
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Chinakandla Gunta,010,591299,10.53272486190
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Kanchipuram,007,591256,2.83126397011
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Marlapadu,014,591355,9.22526451675
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Valluru,009,591361,24.70517850680
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Panduva Nagula Varam,001,591224,39.64657386570
Andhra Pradesh,28,28,Prakasam,17,549,Hanumanthunipadu,21,05130,Muppala Padu,019,591137,11.22219743180
Andhra Pradesh,28,28,Prakasam,17,549,Hanumanthunipadu,21,05130,Dasalla Palle,021,591139,10.51916084300
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Kandulur,013,591356,14.57336507650
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Ponduru,017,591353,13.65639458850
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Vasepallepadu,012,591362,9.51929569764
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Peridepi,017,591306,8.12194486531
Andhra Pradesh,28,28,Prakasam,17,549,Racherla,18,05132,Bhupana Guntla,013,591178,7.03746166938
Andhra Pradesh,28,28,Prakasam,17,549,Marripudi,23,05129,Ramachandrapuram,021,NA,3.89510282273
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,C G Chamarthivarikhandrika,011,591300,2.93635253353
Andhra Pradesh,28,28,Prakasam,17,549,Marripudi,23,05129,Thangella,025,591117,40.92617897730
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Sankavaram,012,591260,20.46900528910
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Thimma Puram,004,591184,6.28521246132
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Kondapi Gadiyaram Vari Khandrika,009,591298,5.28952085678
Andhra Pradesh,28,28,Prakasam,17,549,Hanumanthunipadu,21,05130,Ramaya Palle,018,591136,10.67904044590
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Modam Palle,012,591191,8.78081074787
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Giddaluru,011,591202,19.76311456360
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Kondapi,016,591305,21.75178548990
Andhra Pradesh,28,28,Prakasam,17,549,Marripudi,23,05129,Venkata Krishna Puram,024,591116,2.37016854976
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Pedakandlagunta,014,591303,16.38565422280
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Bommireddi Palle,014,591262,24.55190538410
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Chakirala,011,591259,29.99932676880
Andhra Pradesh,28,28,Prakasam,17,549,Racherla,18,05132,Edavalli,014,591179,18.30096910040
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,P.K.Khandriga,012,591301,1.68753257213
Andhra Pradesh,28,28,Prakasam,17,549,Marripudi,23,05129,Garla Peta,022,591108,4.07783058989
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Muppavaram,018,591307,14.02840628050
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Gudipadu,015,591263,14.96229986900
Andhra Pradesh,28,28,Prakasam,17,549,Hanumanthunipadu,21,05130,Masaya Peta,026,591144,3.81795889088
Andhra Pradesh,28,28,Prakasam,17,549,Komarolu,19,05134,Taticherla,003,591205,10.55650898380
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Kristam Setti Palle,014,591193,21.40293645400
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Somavarappadu,010,NA,1.96704634992
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,M.Nidamalur,016,591354,15.03107178230
Andhra Pradesh,28,28,Prakasam,17,549,Bestawaripeta,20,05131,Pachala Venkata Puram,019,591164,3.87511243577
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Mallavara Padu,008,591359,5.65476104780
Andhra Pradesh,28,28,Prakasam,17,549,Kotha Patnam,28,05140,Raju Palem,004,591348,6.42747905223
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Gosuvandla Kattubadi,007,NA,1.71991295842
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Kankanam Padu Agraharam,011,591234,9.79714433633
Andhra Pradesh,28,28,Prakasam,17,549,Bestawaripeta,20,05131,Galijerugulla,020,591165,25.13856485080
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Ilavera,015,591304,17.30983713410
Andhra Pradesh,28,28,Prakasam,17,549,Kotha Patnam,28,05140,Ethamukkala,006,591349,20.41824767920
Andhra Pradesh,28,28,Prakasam,17,549,Kanigiri,22,05136,Somanapalle,013,591261,2.39827200590
Andhra Pradesh,28,28,Prakasam,17,549,Kondapi,33,05137,Chodavaram,019,591308,10.36345765940
Andhra Pradesh,28,28,Prakasam,17,549,Hanumanthunipadu,21,05130,Upendra Puram,027,591145,16.11162154680
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Karumanchi,005,591357,10.18242592670
